Nazwa produktu	wartośćenergetyczna	białko	tłuszcz	węglowodany	sód	potas	wapń	Żelazo	Witamina C	Witamina A	błonnik
	kcal	g	g	g	mg	mg	mg	mg	mg	mcg	g
Planta	884	0	100	0	0	0	0	0	0	0	0
"Margaryna ""Bona"""	442	0	50	0	119	0	0	0	0	0	0
"Margaryna ""Flora"""	531	0	60	0	119	0	0	0.1	0	0	0
"Margaryna ""Kama"""	398	0	45	0	119	0	0	0	0	0	0
"Margaryna ""Mini Light"""	442	0	50	0	0	0	0	0	0	0	0
Margaryna mleczna	710	0.3	80	0.4	119	10	9	0.1	0	0	0
"Margaryna ""Palma"""	710	0.3	80	0.4	119	10	9	0.1	0	0	0
"Margaryna ""Rama"""	621	0.1	70	0.4	122	10	5	0	0	0	0
Margaryna słoneczna	710	0.3	80	0.4	119	7	5	0.1	0	0	0
"Margaryna ""Śniadaniowa"""	534	0.3	60	0.5	3	9	8	0	0	0	0
"Margaryna ""Tina"""	398	0	45	0	0	0	0	0	0	0	0
Margaryna zwykła	710	0.3	80	0.4	122	10	9	0.1	0	0	0
Masło roślinne kubkowe	666	0.3	75	0.4	122	10	8	0.1	0	0	0
Masło roślinne, kostka	710	0.3	80	0.4	122	10	9	0.1	0	0	0
"Masło roślinne ""Nova"""	442	0	50	0	119	0	0	0	0	0	0
Masło extra	735	0.7	82.5	0.7	9	25	16	0.1	0	380	0
Masło śmietankowe	659	1.1	73.5	1.1	6	15	12	0.1	0	336	0
Słonina	797	2.4	89	0	23	27	1	0.3	0	0	0
Smalec	880	0	99.5	0	1	1	0	0.1	0	0	0
Finea Mix, niskotłuszczowa	533	0.3	60	0.3	326	4	11	0.1	0	26	0
Masełko zakopiańskie	573	0.9	64	0.9	5	13	10	0.1	0	286	0
Mlemix zambrowski	573	0.9	64	0.9	5	12	10	0.1	0	269	0
Mąka pszenna, typ 500	342	9.2	1.2	74.9	2	110	18	1.1	0	0	2.6
Mąka pszenna, typ 500, wzbogacona	342	9.2	1.2	74.9	2	110	68	1.1	0	0	2.6
Mąka pszenna, typ 550	343	9.4	1.6	74.1	2	136	19	1.3	0	0	2.5
Mąka pszenna, typ 750	330	9.1	1.8	73.8	3	165	20	1.6	0	0	5.6
Mąka pszenna, typ 1850	322	11.3	2.3	70.6	3	340	34	3.5	0	0	7.6
Mąka pszenna, typ 2000	317	11.1	2.4	70.5	4	340	37	3.8	0	0	8.9
Mąka żytnia, typ 580	327	5.5	1.5	78.1	2	155	19	1.1	0	0	6.4
Mąka żytnia, typ 720	327	5.9	1.7	77.4	2	190	21	1.4	0	0	6.4
Mąka żytnia, typ 1400	325	7	2.2	75.4	2	313	32	2.5	0	0	7.3
Mąka żytnia, typ 1850	321	7.3	2.2	75	3	361	33	3.1	0	0	8
Mąka żytnia, typ 2000	319	7.9	2.2	74.2	3	420	37	3.4	0	0	8.5
Semolina	346	10.1	1.3	75	1	170	18	1	0	0	2.8
Skrobia kukurydziana	353	0.2	0	88.5	2	7	11	0.2	0	0	1.7
Ziarno pszenicy	317	11.1	2.4	70.5	4	340	37	3.8	0	0	8.9
Ziarno żyta	319	7.9	2.2	74.2	3	420	37	3.4	0	0	8.5
Kasza gryczana	336	12.6	3.1	69.3	5	443	25	2.8	0	0	5.9
Kasza jaglana	346	10.5	2.9	71.6	5	220	10	4.8	0	0	3.2
Kasza jęczmienna perłowa	327	6.9	2.2	75	4	264	20	1.6	0	0	6.2
Kasza jęczmienna, pęczak	334	8.4	2	74.9	5	228	20	1.9	0	0	5.4
Kasza manna	348	8.7	1.3	76.7	3	116	17	0.9	0	0	2.5
Ryż biały	344	6.7	0.7	78.9	6	111	10	0.8	0	0	2.4
Ryż brązowy	322	7.1	1.9	76.8	10	260	32	1.3	0	0	8.7
Makaron bezjajeczny	363	10	1.6	78.5	2	149	20	1.3	0	0	2.7
Makaron bezjajeczny z semoliny	366	10.7	1.4	79.4	1	180	19	1.1	0	0	3
Makaron dwujajeczny	373	11.5	2.6	77.4	17	173	24	1.6	0	1	2.7
Makaron czterojajeczny	377	12	3.4	76.2	28	187	29	1.7	0	2	2.8
Makaron dwujajeczny z semoliny	374	11.9	2.4	77.8	16	191	24	1.3	0	1	2.9
Chleb żytni pełnoziarnisty	237	6.7	1.8	53.9	454	356	66	2.5	0	0	6.1
Chleb żytni jasny	241	4	1.3	57.1	455	115	14	0.8	0	0	4.7
Chleb żytni jasny mleczny	253	4.8	1.8	58.3	467	145	41	0.8	0	3	4.7
Chleb żytni pytlowy	239	4.4	1.5	56.2	449	147	16	1.1	0	0	4.9
Chleb żytni razowy	223	5.6	1.7	51.5	457	279	25	2.3	0	0	5.9
Chleb żytni razowy litewski	233	6.3	1.7	52.9	358	314	61	2.2	0	0	5.5
Chleb żytni razowy na miodzie	234	5.3	1.6	54.2	347	260	24	2.1	0	0	5.4
Chleb żytni razowy wytrawny	227	6.7	1.7	51.1	507	334	71	2.3	0	0	5.6
Chleb żytni razowy z soją i słonecznikiem	244	7.9	3.7	50.5	391	411	41	2.8	0	1	6.5
Chleb żytni sitkowy	229	5.2	1.5	53.2	465	217	23	1.8	0	0	5.3
Chleb żytni starogardzki	223	4.2	1.3	52.1	409	128	15	1	0	0	4.2
Chleb staropolski	219	5	1.7	50.5	447	232	22	2	0	0	5.3
Chleb żytni wileński	225	4.4	1.5	52.3	353	179	19	1.4	0	0	4.6
