baton go on żurawinowy!	baton go on żurawinowy!	sante	sante	100 g	słodycze i przekąski	wafle, batony	436	18	45	20	True
baton jeżyk z kokosem	baton jeżyk z kokosem	brak	jeżyki	100 g	słodycze i przekąski	wafle, batony	486	24	59	5.6	True
baton jeżyki classic	baton classic	jutrzenka	jeżyki	100 g	słodycze i przekąski	wafle, batony	474	22	63	5.7	True
baton karmelowy nutrageous resses	baton karmelowy nutrageous resses	ressees		100 g	słodycze i przekąski	wafle, batony	240	30	55	11	True
baton kinder country	baton country	ferrero	kinder	100 g	słodycze i przekąski	wafle, batony	2342	33.8	54.9	8.6	True
baton kit kat chunky 4 paluszki	baton kit kat chunky 4 paluszki	nestle	kitkat	100 g	słodycze i przekąski	wafle, batony	521	27.7	60	6.8	True
baton kit kat chunky peanut butter	baton kit kat chunky peanut butter	nestle	kitkat	100 g	słodycze i przekąski	wafle, batony	538	31.2	52.8	10.4	True
baton kit kat chunky white	baton kit kat chunky white	nestle	kitkat	100 g	słodycze i przekąski	wafle, batony	516	26.4	60.8	8.1	True
baton kit kat chunky xtra break	baton kit kat chunky xtra break	nestle	kitkat	100 g	słodycze i przekąski	wafle, batony	527	28.2	61.1	6.7	True
baton kit kat fine dark.	baton kit kat fine dark.	nestle	kitkat	100 g	słodycze i przekąski	wafle, batony	0	25.8	61.1	5.7	True
baton kokosowy o smaku mięty w polewie czekoladowej	baton kokosowy o smaku mięty w polewie czekoladowej	mcp group		100 g	słodycze i przekąski	wafle, batony	495	27.3	63.5	3.2	True
baton kokosowy w polewie z mlecznej czekolady	baton kokosowy w polewie z mlecznej czekolady	mcp group		100 g	słodycze i przekąski	wafle, batony	506	27.3	61.6	4.2	True
baton kokosowy z bananem w polewie z mlecznej czekolady	baton kokosowy z bananem w polewie z mlecznej czekolady	mcp group		100 g	słodycze i przekąski	wafle, batony	493	26.9	61	3.4	True
baton krówkowy mleczny	baton krówkowy mleczny	wawel	wawel	100 g	słodycze i przekąski	wafle, batony	494	28	56	4	True
baton lion	baton lion	nestle	lion	100 g	słodycze i przekąski	wafle, batony	476	20.9	66.9	4.3	True
baton lion 2 pack	baton 2 pack	nestle	lion	100 g	słodycze i przekąski	wafle, batony	476	20.8	67	4.4	True
baton lion biały	baton biały	nestle	lion	100 g	słodycze i przekąski	wafle, batony	478	21.5	65	5.9	True
baton lion peanut	baton peanut	nestle	lion	100 g	słodycze i przekąski	wafle, batony	494	24.8	58.4	8.1	True
baton maciek adwokat	baton maciek adwokat	wawel	wawel	100 g	słodycze i przekąski	wafle, batony	494	25	57	6	True
baton marcepanowy chlebek zentis	baton marcepanowy chlebek zentis	zentis		100 ml	słodycze i przekąski	wafle, batony	438	16	67.1	5.1	True
baton mars	baton mars	mars	mars	100 g	słodycze i przekąski	wafle, batony	452	17	70.3	3.7	True
baton mars	baton mars	mars	mars	100 g	słodycze i przekąski	wafle, batony	445	15.6	71.6	3.8	True
baton mars 2pack	baton 2pack	mars	mars	100 g	słodycze i przekąski	wafle, batony	1898	17	70.3	3.7	True
baton mars 2pack 2*35g	baton 2pack 2*35g	mars	mars	100 g	słodycze i przekąski	wafle, batony	445	15.6	71.6	3.8	True
